id,username,characters,title,postLink,image,score,scoreMax,scoreRaw,place,reward,isWinner,awardTitle,comment,verify
1,@forLansely,Астерия,Работа #1,https://t.me/StableWaifuComments/17767675,img/works/work_001.jpg,3,5,3,3,50,True,3 место,"Приятная работа, стилистика, да и сама атмосфера. Она ощущается такой куколкой. Очень мило","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 00:54 МСК"
2,@Seraphimss,Астерия,Работа #2,https://t.me/StableWaifuComments/17767971,img/works/work_002.jpg,3,5,3,3,50,True,3 место,"Явно после длительного полёта. Вон, как зыркает","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 01:55 МСК"
3,@Seraphimss,Астерия,Работа #3,https://t.me/StableWaifuComments/17767978,img/works/work_003.jpg,4,5,4,2,100,True,2 место,"Выпить после тяжёлого дня, очень приятно. Но не хватает наглой улыбки как по мне","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 02:14 МСК"
4,@Seraphimss,"Астерия, Эриду",Работа #4,https://t.me/StableWaifuComments/17767985,img/works/work_004.jpg,4,5,4,2,100,True,2 место,Подружки решили впэмечте посидеть и пообщаться. Эриду тут даже ничего не чудит.,"👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 02:01 МСК"
5,@ChrezDev,Таласса,Работа #5,https://t.me/StableWaifuComments/17768874,img/works/work_005.jpg,5,5,5,1,300,True,1 место,"Очень красивая работа, я в неё влюбилась почти сразу. Так нежно и красиво вышло, эта вода, танцующая поза, ночь. Все прям шикарно!","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 06:40 МСК"
6,@crystalloli,Эриду,Работа #6,https://t.me/StableWaifuComments/17769442,img/works/work_006.jpg,4,5,4,2,100,True,2 место,"Я ждала, что кто-то сделает такую двойтвенность природы Эриду, но не думала, что это будет так быстро. Вышло красиво, сочно.","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 07:48 МСК"
7,@crystalloli,Кассиан,Работа #7,https://t.me/StableWaifuComments/17769671,img/works/work_007.jpg,4,5,4,2,100,True,2 место,"Уютная работа. Рысёнок выдимо слишком ушёл в себя, что начал кусать свой хвост","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 08:15 МСК"
8,@venera_chan,Астерия,Работа #8,https://t.me/StableWaifuComments/17770983,img/works/work_008.jpg,5,5,5,1,300,True,1 место,"и снова шикарная работа. Сама малышка за своей работой, но слегка отвлеклась на звездочку","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 10:37 МСК"
9,@the_elv,Дандан Цзянь,Работа #9,https://t.me/StableWaifuComments/17771291,img/works/work_009.jpg,4,5,4,2,100,True,2 место,"Очень много красного, но ей подходит такое. Еще и шприц в руках держит","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 11:15 МСК"
10,@venera_chan,Лагострёмия,Работа #10,https://t.me/StableWaifuComments/17771353,img/works/work_010.jpg,4,5,4,2,100,True,2 место,"Наглая Лаг на машине. Еще и смотрит, как на говно. Прикольно","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 11:24 МСК"
11,@venera_chan,Лагострёмия,Работа #11,https://t.me/StableWaifuComments/17772036,img/works/work_011.jpg,2,5,2,0,0,False,,"Тут не шибко понравилась меша, но сама работа вышла вайбовой и атмосферной.","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 12:17 МСК"
